Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Benin,2431617,2465865,2502897,2542864,2585961,2632361,2682159,2735308,2791588,2850657,2912338,2976575,3043563,3113681,3187413,3265167,3347169,3433445,3523933,3618519,3717161,3820126,3927717,4039940,4156819,4278502,4404504,4535262,4672844,4820020,4978489,5149496,5331805,5521761,5714215,5905552,6094272,6281644,6470275,6664102,6865946,7076728,7295400,7520556,7750003,7982223,8216893,8454790,8696915,8944713,9199254,9460829,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,12451031
Burkina Faso,4829289,4894580,4960328,5027811,5098891,5174874,5256360,5343025,5434046,5528172,5624592,5723378,5825174,5930493,6040045,6154554,6274032,6398933,6530820,6671656,6822837,6985166,7158259,7340910,7531239,7727908,7930689,8140080,8356313,8579818,8811033,9050086,9297110,9552473,9816584,10089880,10372734,10665552,10968722,11282696,11607951,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,21497097
Cabo Verde,201770,205321,210141,216087,222949,230421,238655,247522,256169,263461,268633,271315,271841,271068,270228,270240,271345,273335,276182,279729,283848,288678,294244,300226,306140,311668,316613,321137,325744,331180,337953,346229,355763,366057,376409,386288,395533,404248,412513,420456,428178,435701,442955,449925,456619,463034,469171,475067,480846,486667,492644,498858,505241,511740,518276,524740,531140,537499,543764,549936,555988,561901
Cote d'Ivoire,3503559,3631547,3770756,3918630,4071411,4226843,4383723,4544168,4713134,4897470,5102070,5328735,5576026,5841513,6121295,6412409,6713949,7026497,7350269,7685927,8033652,8393689,8764991,9144940,9530103,9918204,10307268,10698188,11094740,11502453,11924873,12362404,12812428,13271638,13735438,14199759,14665125,15130674,15589407,16032573,16454660,16853027,17231539,17599613,17970493,18354513,18754914,19171250,19605568,20059147,20532944,21028652,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275,27053629
Gambia,365049,372436,379886,387635,396012,405258,415478,426622,438590,451228,464404,478106,492424,507428,523250,539985,557810,576755,596540,616770,637252,657581,678111,700198,725688,755791,791141,831011,873440,915631,955595,992671,1027476,1060861,1094219,1128577,1164091,1200522,1238124,1277118,1317708,1360070,1404263,1449925,1496524,1543745,1591444,1639846,1689288,1740277,1793199,1848142,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664,2486937
Ghana,6635229,6848291,7071966,7300124,7524470,7739463,7941418,8132803,8321773,8520018,8735493,8973247,9229640,9493552,9749098,9985946,10199164,10395453,10590265,10805318,11056112,11348287,11676828,12033559,12405659,12783617,13164839,13552021,13947047,14353409,14773274,15207360,15653345,16106756,16561677,17014058,17462504,17908977,18357159,18812369,19278850,19756929,20246376,20750308,21272328,21814648,22379057,22963946,23563832,24170943,24779614,25387713,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,31732128
Guinea,3494164,3552068,3611428,3672560,3735912,3801711,3870204,3941046,4013050,4084601,4154606,4223056,4290544,4357357,4424030,4491248,4559239,4628881,4702371,4782491,4871446,4969595,5077073,5195443,5326369,5470716,5629420,5801323,5982484,6167480,6352282,6534936,6716032,6897171,7081119,7269631,7463782,7662071,7860772,8054745,8240735,8417082,8586077,8753097,8925729,9109585,9307421,9518159,9738796,9964470,10192168,10420459,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792,13497237
Guinea-Bissau,616140,622754,628877,635008,641821,649795,658998,669243,680431,692407,704937,718359,732516,746178,757668,765985,770415,771732,772137,774726,781678,793804,810402,830212,851276,872163,892530,912755,933046,953782,975265,997522,1020353,1043421,1066345,1088850,1110835,1132505,1154372,1177133,1201305,1227105,1254454,1283297,1313492,1344931,1377582,1411545,1446936,1483920,1522603,1562996,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998,2015490
Liberia,1118655,1142304,1166651,1191796,1217905,1245104,1273458,1303032,1333980,1366500,1400730,1436740,1474567,1514364,1556288,1600454,1645833,1692155,1740919,1794251,1852991,1918832,1989477,2057232,2111667,2145756,2158434,2153312,2134105,2106429,2075917,2040141,2001612,1976701,1986491,2044657,2160480,2326210,2517472,2699708,2848447,2953928,3024727,3077055,3135654,3218114,3329211,3461911,3607863,3754129,3891357,4017446,4135662,4248337,4359508,4472229,4586788,4702224,4818976,4937374,5057677,5180208
Mali,5263727,5322269,5381367,5441618,5503750,5568495,5635864,5706192,5780836,5861417,5949042,6044524,6147464,6256191,6368346,6482282,6596721,6712267,6831090,6956409,7090124,7234725,7388670,7545163,7694857,7831888,7952863,8062216,8171525,8296919,8449915,8635528,8850334,9087173,9334893,9585660,9837575,10094363,10360564,10642937,10946448,11271603,11616890,11982692,12369078,12775509,13203378,13651455,14113578,14581427,15049352,15514593,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834,20855724
